"Round","Mean","SD","Min","Max"
"2010--11",550.000026915455,95.3793261595842,425.000019295228,699.999924298356
"2013",524.999975568306,339.576903531317,100.000006395088,1049.99990527344
"2019--20",3213.06919457039,591.737805957096,2375.00010775869,3727.2744716572
