"Round","Observations","Mean","SD","Min","Max"
"2010--11",1619,189019.975911056,348425.180253228,0,6243520
"2013",1988,446183.790241448,649465.535250569,0,8392140
"2016--17",2507,715856.668927005,946850.816761047,4480,19335280
"2019--20",3178,820127.555695409,1089739.14324236,2500,14980200
"Total",9292,602029.138721495,902175.293908299,0,19335280
