"Round","Mean","SD","Min","Max"
"2010--11",26.8015859747848,6.5835083904513,20.7142831415038,38.5714295417008
"2013",71.5476116530999,39.2934089773451,43.3333302455268,126.66666276606
"2019--20",221.164146419472,122.090725442048,100.000006395088,385.714215788945
