"Round","Mean","SD","Min","Max"
"2010--11",6.79048273141435,0.945546370457377,6.17241379310345,8.4887983706721
"2013",22.3917070545755,2.57475369406754,20.2008196721311,27.1992110453649
"2016--17",50.0553687049087,3.68618864488924,45.1339130434783,58.4610169491525
"2019--20",64.6411883498682,0.555600163501242,63.8039215686275,65.4897959183673
